NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
TINCR	1	TINCR	
VASN	1	VASN	
HAL	1	HAL	
FUBP3	1	FUBP3	
FUBP1	1	FUBP1	
PANO1	1	PANO1	
CYCSP34	1	CYCSP34	
CYP2B7P	1	CYP2B7P	
PCBP2P1	1	PCBP2P1	
ATP6V1G1P4	1	ATP6V1G1P4	
COL18A1	1	COL18A1	
ZFAND2A	1	ZFAND2A	
ZFAND2B	1	ZFAND2B	
NKAP	1	NKAP	
HBB	1	HBB	
HBD	1	HBD	
H1-9P	1	HILS1	
DNER	1	DNER	
CYCSP24	1	CYCSP24	
GABPA	1	GABPA	
RAB8A	1	RAB8A	
RALGPS1	1	RALGPS1	
RAB8B	1	RAB8B	
RALGPS2	1	RALGPS2	
VAV3	1	VAV3	
HBZ	1	HBZ	
RAB6C	1	RAB6C	
GPBAR1	1	GPBAR1	
GFRA1	1	GFRA1	
GFRA3	1	GFRA3	
GFRA2	1	GFRA2	
RENBP	1	RENBP	
VAV2	1	VAV2	
NAP1L1P1	1	NAP1L1P1	
HCK	1	HCK	
CDCP1	1	CDCP1	
CNEP1R1	1	CNEP1R1	
EIF1AXP1	1	EIF1AXP1	
RAB7B	1	RAB7B	
CYCSP10	1	CYCSP10	
RAB7A	1	RAB7A	
RPL21P134	1	RPL21P134	
ZNF2	1	ZNF2	
ZNF3	1	ZNF3	
ZNF8	1	ZNF8	
NKD1	1	NKD1	
ZNF7	1	ZNF7	
PSMC3IP	1	PSMC3IP	
DUOX1	1	DUOX1	
UBTD2	1	UBTD2	
UBTD1	1	UBTD1	
SPTSSA	1	SPTSSA	
ATP6V0E2	1	ATP6V0E2	
GABRE	1	GABRE	
KANSL1L	1	KANSL1L	
EXOSC3P1	1	EXOSC3P1	
HDX	1	HDX	
DUOX2	1	DUOX2	
SH3BGR	1	SH3BGR	
GABRQ	1	GABRQ	
ATP5PF	1	ATP5PF	
ATP5PD	1	ATP5PD	
MYEF2	1	MYEF2	
ATP5PB	1	ATP5PB	
FAM189A2	1	FAM189A2	
FAM189A1	1	FAM189A1	
PLAC8L1	1	PLAC8L1	
VAX2	1	VAX2	
FBXW4P1	1	FBXW4P1	
RAB11A	1	RAB11A	
RAB11B	1	RAB11B	
CAPZA1	1	CAPZA1	
CAPZA2	1	CAPZA2	
ATP5PO	1	ATP5PO	
RAB9A	1	RAB9A	
RAB9B	1	RAB9B	
ALG1L	1	ALG1L	
ITPRIP	1	ITPRIP	
HFE	1	HFE	
RPS27AP16	1	RPS27AP16	
FAIM2	1	FAIM2	
RPS27AP12	1	RPS27AP12	
RPS27AP11	1	RPS27AP11	
TRAPPC12	1	TRAPPC12	
TRAPPC11	1	TRAPPC11	
TRAPPC14	1	MAP11	
TRAPPC13	1	TRAPPC13	
NANOS1	1	NANOS1	
SPDYE10	1	SPDYE10P	
SZT2	1	SZT2	
TRAPPC2L	1	TRAPPC2L	
HGD	1	HGD	
HGF	1	HGF	
NANOS3	1	NANOS3	
ALG14	1	ALG14	
SPDYE16	1	SPDYE16	
ALG13	1	ALG13	
KAZN	1	KAZN	
TRAPPC2B	1	TRAPPC2B	
ALG12	1	ALG12	
SPDYE18	1	SPDYE18	
ALG11	1	ALG11	
ALG10	1	ALG10	
HGS	1	HGS	
FBLN7	1	FBLN7	
TRAPPC3L	1	TRAPPC3L	
SPDYE21	1	SPDYE21P	
FBLN1	1	FBLN1	
FBLN2	1	FBLN2	
TRHDE	1	TRHDE	
FBLN5	1	FBLN5	
SCUBE2	1	SCUBE2	
SCUBE3	1	SCUBE3	
SCUBE1	1	SCUBE1	
UAP1L1	1	UAP1L1	
ATP5MK	1	ATP5MD	
ATP5MJ	1	ATP5MPL	
RPRD1B	1	RPRD1B	
RPRD1A	1	RPRD1A	
ATP5MG	1	ATP5MG	
ATP5MF	1	ATP5MF	
ATP5ME	1	ATP5ME	
TCEA1P4	1	TCEA1P4	
TCEA1P2	1	TCEA1P2	
TCEA1P3	1	TCEA1P3	
RHBDD3	1	RHBDD3	
RHBDD2	1	RHBDD2	
RHBDD1	1	RHBDD1	
CRLS1	1	CRLS1	
SEPSECS	1	SEPSECS	
SOWAHB	1	SOWAHB	
SOWAHC	1	SOWAHC	
SOWAHD	1	SOWAHD	
FBLL1	1	FBLL1	
HAPLN3	1	HAPLN3	
HAPLN4	1	HAPLN4	
HAPLN1	1	HAPLN1	
HK2	1	HK2	
HK1	1	HK1	
HJV	1	HJV	
PPP2R5E	1	PPP2R5E	
MCF2L	1	MCF2L	
SPEGNB	1	SPEGNB	
RHBDF1	1	RHBDF1	
MYEOV	1	MYEOV	
RHBDF2	1	RHBDF2	
AXIN1	1	AXIN1	
PPP2R5B	1	PPP2R5B	
PPP2R5A	1	PPP2R5A	
PPP2R5D	1	PPP2R5D	
AXIN2	1	AXIN2	
PPP2R5C	1	PPP2R5C	
DNM1	1	DNM1	
DNM2	1	DNM2	
CETN4P	1	CETN4P	
DNM3	1	DNM3	
TRAPPC6A	1	TRAPPC6A	
MIA-RAB4B	1	MIA-RAB4B	
TRAPPC6B	1	TRAPPC6B	
DNLZ	1	DNLZ	
SOWAHA	1	SOWAHA	
STOML2	1	STOML2	
HLF	1	HLF	
STOML1	1	STOML1	
ABRAXAS1	1	ABRAXAS1	
LEF1	1	LEF1	
ETFDH	1	ETFDH	
ABRAXAS2	1	ABRAXAS2	
RNF113A	1	RNF113A	
HLX	1	HLX	
PPP2R3C	1	PPP2R3C	
LEPROTL1	1	LEPROTL1	
PDIA3P1	1	PDIA3P1	
TP73-AS1	1	TP73-AS1	
PPP2R3B	1	PPP2R3B	
PPP2R3A	1	PPP2R3A	
WEE1	1	WEE1	
PPP2R2C	1	PPP2R2C	
PPP2R2B	1	PPP2R2B	
PPP2R2D	1	PPP2R2D	
CKLF	1	CKLF	
MAPKBP1	1	MAPKBP1	
CYBC1	1	CYBC1	
PGAP1	1	PGAP1	
PGAP2	1	PGAP2	
PGAP3	1	PGAP3	
PGAP4	1	TMEM246	
OR10AC1	1	OR10AC1	
PGAP6	1	TMEM8A	
CCBE1	1	CCBE1	
MRTFB	1	MRTFB	
MRTFA	1	MRTFA	
HDHD5	1	HDHD5	
PDZK1	1	PDZK1	
HDHD2	1	HDHD2	
HDHD3	1	HDHD3	
CNBD2	1	CNBD2	
ETHE1	1	ETHE1	
UQCRC1	1	UQCRC1	
SPARCL1	1	SPARCL1	
UQCRC2	1	UQCRC2	
HPD	1	HPD	
NYAP1	1	NYAP1	
FABP5P3	1	FABP5P3	
FIGNL2	1	FIGNL2	
NCAPG	1	NCAPG	
GIGYF2	1	GIGYF2	
NCAPH	1	NCAPH	
GCNT1P1	1	GCNT1P1	
HPX	1	HPX	
FIGNL1	1	FIGNL1	
RHBDL3	1	RHBDL3	
RHBDL2	1	RHBDL2	
RHBDL1	1	RHBDL1	
GPR17	1	GPR17	
MYH7B	1	MYH7B	
SCDP1	1	SCDP1	
TTC4P1	1	TTC4P1	
EXOC6B	1	EXOC6B	
BHMT	1	BHMT	
HRC	1	HRC	
GPR18	1	GPR18	
GPR19	1	GPR19	
GPR27	1	GPR27	
HRK	1	HRK	
LRRC36	1	LRRC36	
LRRC34	1	LRRC34	
EEF1GP1	1	EEF1GP1	
GPR21	1	GPR21	
LRRC38	1	LRRC38	
LRRC39	1	LRRC39	
GPR20	1	GPR20	
PTH1R	1	PTH1R	
LRRC32	1	LRRC32	
HSPB11	1	HSPB11	
LETM2	1	LETM2	
LRRC37A4P	1	LRRC37A4P	
NKRF	1	NKRF	
SH3BGRL2	1	SH3BGRL2	
SH3BGRL3	1	SH3BGRL3	
IFNWP19	1	IFNWP19	
FXNP2	1	FXNP2	
CGNL1	1	CGNL1	
LRRC47	1	LRRC47	
GPR39	1	GPR39	
LRRC45	1	LRRC45	
GPR37	1	GPR37	
LRRC46	1	LRRC46	
GPR35	1	GPR35	
LRRC49	1	LRRC49	
PGAM1	1	PGAM1	
PGAM2	1	PGAM2	
LRRC40	1	LRRC40	
PTH2R	1	PTH2R	
MANEAL	1	MANEAL	
LRRC43	1	LRRC43	
PTGR1	1	PTGR1	
PTGR2	1	PTGR2	
LRRC41	1	LRRC41	
LRRC42	1	LRRC42	
VAMP8	1	VAMP8	
VAMP7	1	VAMP7	
RPS18P12	1	RPS18P12	
CKS2	1	CKS2	
VN1R1	1	VN1R1	
PGAM4	1	PGAM4	
VAMP1	1	VAMP1	
PGAM5	1	PGAM5	
VAMP4	1	VAMP4	
LRRC3C	1	LRRC3C	
VAMP5	1	VAMP5	
LYPLAL1	1	LYPLAL1	
VAMP2	1	VAMP2	
VAMP3	1	VAMP3	
KANK2	1	KANK2	
LRRC14	1	LRRC14	
KANK1	1	KANK1	
LRRC15	1	LRRC15	
ERVFRD-1	1	ERVFRD-1	
ERVFRD-3	1	ERVFRD-3	
LRRC19	1	LRRC19	
LRRC17	1	LRRC17	
HTT	1	HTT	
PTGS2	1	PTGS2	
PRAM1	1	PRAM1	
PTGS1	1	PTGS1	
EXTL2	1	EXTL2	
EXTL1	1	EXTL1	
SRPX2	1	SRPX2	
MICALL1	1	MICALL1	
AP2S1	1	AP2S1	
LEO1	1	LEO1	
MICALL2	1	MICALL2	
ANO10	1	ANO10	
EXTL3	1	EXTL3	
SRSF10	1	SRSF10	
YKT6	1	YKT6	
SRSF11	1	SRSF11	
NKTR	1	NKTR	
SRSF12	1	SRSF12	
LRRC25	1	LRRC25	
LRRC23	1	LRRC23	
MRPL35P3	1	MRPL35P3	
LRRC24	1	LRRC24	
LRRC29	1	LRRC29	
SMAGP	1	SMAGP	
LRRC27	1	LRRC27	
CLIC4P1	1	CLIC4P1	
LRRC28	1	LRRC28	
GPR52	1	GPR52	
LRRC20	1	LRRC20	
LETM1	1	LETM1	
RPS16P5	1	RPS16P5	
BEND3P2	1	BEND3P2	
BEND3P3	1	BEND3P3	
HSD17B7P2	1	HSD17B7P2	
EEF1GP5	1	EEF1GP5	
SH2D7	1	SH2D7	
GPR68	1	GPR68	
GPR65	1	GPR65	
GPR63	1	GPR63	
LRRC73	1	LRRC73	
CRAMP1	1	CRAMP1	
GPR61	1	GPR61	
LRRC70	1	LRRC70	
GPR62	1	GPR62	
LRRC71	1	LRRC71	
LCNL1	1	LCNL1	
LEPR	1	LEPR	
SH2D6	1	SH2D6	
SH2D5	1	SH2D5	
AP2M1	1	AP2M1	
SH3GLB1	1	SH3GLB1	
SH3GLB2	1	SH3GLB2	
SLC38A1	1	SLC38A1	
ANAPC7	1	ANAPC7	
GPR78	1	GPR78	
AKR1E2	1	AKR1E2	
GPR75	1	GPR75	
SLC9B1	1	SLC9B1	
SLC9B2	1	SLC9B2	
SLC9A3	1	SLC9A3	
SLC9A4	1	SLC9A4	
SLC9A5	1	SLC9A5	
SLC9A6	1	SLC9A6	
SLC9A7	1	SLC9A7	
SLC9A8	1	SLC9A8	
MRTO4	1	MRTO4	
SLC9A9	1	SLC9A9	
ANAPC4	1	ANAPC4	
ANAPC5	1	ANAPC5	
IGFALS	1	IGFALS	
SNRNP200	1	SNRNP200	
ANAPC1	1	ANAPC1	
KANK4	1	KANK4	
ANAPC2	1	ANAPC2	
KANK3	1	KANK3	
LRRC58	1	LRRC58	
LRRC59	1	LRRC59	
LRRC56	1	LRRC56	
LRRC57	1	LRRC57	
GPR85	1	GPR85	
GPR83	1	GPR83	
GPR84	1	GPR84	
SLC9A1	1	SLC9A1	
UBE2V1P1	1	UBE2V1P1	
SLC38A7	1	SLC38A7	
HYI	1	HYI	
SLC38A6	1	SLC38A6	
SLC38A9	1	SLC38A9	
SLC38A8	1	SLC38A8	
LRRC4C	1	LRRC4C	
SLC38A3	1	SLC38A3	
SLC38A2	1	SLC38A2	
SLC38A5	1	SLC38A5	
LRRC4B	1	LRRC4B	
SLC38A4	1	SLC38A4	
LRRC69	1	LRRC69	
LRRC61	1	LRRC61	
LRRC66	1	LRRC66	
LRRC63	1	LRRC63	
NFKB1	1	NFKB1	
NFKB2	1	NFKB2	
GNL3L	1	GNL3L	
UBLCP1	1	UBLCP1	
NFE2L3	1	NFE2L3	
NFE2L1	1	NFE2L1	
NFE2L2	1	NFE2L2	
ANO7L1	1	ANO7L1	
SLC25A1	1	SLC25A1	
SLC25A3	1	SLC25A3	
SLC25A2	1	SLC25A2	
TSSK1B	1	TSSK1B	
TSSK1A	1	TSSK1A	
LARP1P1	1	LARP1P1	
ERC1	1	ERC1	
ERC2	1	ERC2	
ERLEC1P1	1	ERLEC1P1	
VBP1	1	VBP1	
VEZF1	1	VEZF1	
GIGYF1	1	GIGYF1	
SLC25A5	1	SLC25A5	
L3MBTL4	1	L3MBTL4	
SLC25A4	1	SLC25A4	
ERAS	1	ERAS	
SLC25A6	1	SLC25A6	
GTF3C1	1	GTF3C1	
H2AZ2P1	1	H2AFVP1	
GTF3C2	1	GTF3C2	
GTF3C3	1	GTF3C3	
GTF3C4	1	GTF3C4	
GTF3C5	1	GTF3C5	
GTF3C6	1	GTF3C6	
PRCD	1	PRCD	
PRCC	1	PRCC	
PRCP	1	PRCP	
IFI16	1	IFI16	
SH3BP1	1	SH3BP1	
SH3BP2	1	SH3BP2	
BEND3	1	BEND3	
LRRC8C	1	LRRC8C	
SH3BP5	1	SH3BP5	
LRRC8D	1	LRRC8D	
SH3BP4	1	SH3BP4	
D2HGDH	1	D2HGDH	
LRRC8A	1	LRRC8A	
LRRC8B	1	LRRC8B	
BEND7	1	BEND7	
FCGR1A	1	FCGR1A	
SH2B3	1	SH2B3	
BEND5	1	BEND5	
LRRC8E	1	LRRC8E	
SH2B2	1	SH2B2	
BEND6	1	BEND6	
SH2B1	1	SH2B1	
CYB5B	1	CYB5B	
SLC12A2	1	SLC12A2	
CYB5A	1	CYB5A	
SLC12A3	1	SLC12A3	
SLC12A4	1	SLC12A4	
SLC12A5	1	SLC12A5	
ERAP2	1	ERAP2	
MBOAT7	1	MBOAT7	
ERAP1	1	ERAP1	
MBOAT1	1	MBOAT1	
MBOAT2	1	MBOAT2	
RPL23A	1	RPL23A	
MBOAT4	1	MBOAT4	
USH2A	1	USH2A	
FCGR2A	1	FCGR2A	
PRC1	1	PRC1	
SMAP2	1	SMAP2	
SMAP1	1	SMAP1	
AHCYL2	1	AHCYL2	
AHCYL1	1	AHCYL1	
PREP	1	PREP	
KANTR	1	KANTR	
IFI35	1	IFI35	
ERFE	1	ERFE	
IFI30	1	IFI30	
CCAR2	1	CCAR2	
CCAR1	1	CCAR1	
SLC12A6	1	SLC12A6	
SLC12A7	1	SLC12A7	
SLC12A8	1	SLC12A8	
SLC12A9	1	SLC12A9	
PAQR8	1	PAQR8	
PAQR9	1	PAQR9	
PAQR6	1	PAQR6	
PAQR7	1	PAQR7	
PAQR4	1	PAQR4	
PAQR5	1	PAQR5	
PAQR3	1	PAQR3	
HNF1A	1	HNF1A	
TM4SF4	1	TM4SF4	
TM4SF1	1	TM4SF1	
EREG	1	EREG	
PPP1R3G	1	PPP1R3G	
PPP1R3F	1	PPP1R3F	
SHTN1	1	SHTN1	
STX1B	1	STX1B	
IFI27	1	IFI27	
PPP1R3C	1	PPP1R3C	
DAZAP2P1	1	DAZAP2P1	
PPP1R3B	1	PPP1R3B	
PPP1R3E	1	PPP1R3E	
PPP1R3D	1	PPP1R3D	
PREB	1	PREB	
STX1A	1	STX1A	
L3MBTL1	1	L3MBTL1	
PPP1R37	1	PPP1R37	
PPP1R36	1	PPP1R36	
L3MBTL3	1	L3MBTL3	
L3MBTL2	1	L3MBTL2	
PPP1R32	1	PPP1R32	
PPP1R35	1	PPP1R35	
PRH1	1	PRH1	
PGBD1	1	PGBD1	
PGBD2	1	PGBD2	
PGBD4	1	PGBD4	
PGBD5	1	PGBD5	
TSPAN8	1	TSPAN8	
ERI1	1	ERI1	
TSPAN9	1	TSPAN9	
ERI2	1	ERI2	
TSPAN6	1	TSPAN6	
ERI3	1	ERI3	
TSPAN4	1	TSPAN4	
TSPAN5	1	TSPAN5	
TSPAN2	1	TSPAN2	
TSPAN3	1	TSPAN3	
TSPAN1	1	TSPAN1	
PPP1R26	1	PPP1R26	
PPP1R27	1	PPP1R27	
PPP1R21	1	PPP1R21	
IFI44	1	IFI44	
PRG4	1	PRG4	
ERAL1	1	ERAL1	
ID2	1	ID2	
PPP1R1C	1	PPP1R1C	
RPL27A	1	RPL27A	
ID1	1	ID1	
PPP1R1B	1	PPP1R1B	
ID4	1	ID4	
ID3	1	ID3	
ANKRD18B	1	ANKRD18B	
GASK1A	1	GASK1A	
GASK1B	1	GASK1B	
PPP1R11	1	PPP1R11	
PPP1R10	1	PPP1R10	
KIF14	1	KIF14	
AKR1B1	1	AKR1B1	
MIA2	1	MIA2	
AP2A1	1	AP2A1	
KIF12	1	KIF12	
MIA3	1	MIA3	
IDE	1	IDE	
KIF11	1	KIF11	
AP2A2	1	AP2A2	
KIF17	1	KIF17	
PPP1R18	1	PPP1R18	
KIF15	1	KIF15	
HNF4A	1	HNF4A	
IDS	1	IDS	
KIF1C	1	KIF1C	
KIF1B	1	KIF1B	
KIF1A	1	KIF1A	
NDEL1	1	NDEL1	
TLCD3A	1	FAM57A	
LYNX1	1	LYNX1	
AKR1A1	1	AKR1A1	
KIF25	1	KIF25	
KIF24	1	KIF24	
KIF22	1	KIF22	
MMEL1	1	MMEL1	
TLCD3B	1	FAM57B	
KIF27	1	KIF27	
OOEP	1	OOEP	
AJAP1	1	AJAP1	
KIF2A	1	KIF2A	
KIF2C	1	KIF2C	
CFL1P1	1	CFL1P1	
PDZRN3	1	PDZRN3	
CFL1P5	1	CFL1P5	
PRKN	1	PRKN	
TMPRSS9	1	TMPRSS9	
STX12	1	STX12	
TMPRSS7	1	TMPRSS7	
STX17	1	STX17	
TMPRSS5	1	TMPRSS5	
STX16	1	STX16	
AKR1D1	1	AKR1D1	
STX18	1	STX18	
TMPRSS2	1	TMPRSS2	
XIAP	1	XIAP	
PRKX	1	PRKX	
FUOM	1	FUOM	
COL19A1	1	COL19A1	
STX11	1	STX11	
STX10	1	STX10	
RXRB	1	RXRB	
RXRA	1	RXRA	
PRKY	1	PRKY	
DGLUCY	1	DGLUCY	
MICD	1	MICD	
MICE	1	MICE	
MICA	1	MICA	
MICB	1	MICB	
RFTN2	1	RFTN2	
TSNAX	1	TSNAX	
ERCC6L2	1	ERCC6L2	
AKR1C1	1	AKR1C1	
RFTN1	1	RFTN1	
AKR1C3	1	AKR1C3	
MIB2	1	MIB2	
AKR1C2	1	AKR1C2	
AP2B1	1	AP2B1	
DOHH	1	DOHH	
NLE1	1	NLE1	
MIB1	1	MIB1	
ERCC6L	1	ERCC6L	
MIDN	1	MIDN	
PLGLB1	1	PLGLB1	
PLGLB2	1	PLGLB2	
IHH	1	IHH	
CLGN	1	CLGN	
TEPSIN	1	TEPSIN	
KIF5C	1	KIF5C	
KIF5B	1	KIF5B	
KIF5A	1	KIF5A	
BAALC	1	BAALC	
PRND	1	PRND	
G6PD	1	G6PD	
DIMT1	1	DIMT1	
SSU72	1	SSU72	
MID1	1	MID1	
PRLR	1	PRLR	
MID2	1	MID2	
ERN1	1	ERN1	
PLA2G15	1	PLA2G15	
DOK1	1	DOK1	
ERN2	1	ERN2	
DOK3	1	DOK3	
DOK4	1	DOK4	
DOK5	1	DOK5	
DOK6	1	DOK6	
DOK7	1	DOK7	
PLA2G10	1	PLA2G10	
INO80B-WBP1	1	INO80B-WBP1	
TMED10	1	TMED10	
SEL1L	1	SEL1L	
PSEN2	1	PSEN2	
PSEN1	1	PSEN1	
FUT2	1	FUT2	
FUT1	1	FUT1	
LRRC37A6P	1	LRRC37A6P	
MCHR1	1	MCHR1	
FUT4	1	FUT4	
FUT3	1	FUT3	
FUT6	1	FUT6	
DBIL5P	1	DBIL5P	
FUT8	1	FUT8	
FUT7	1	FUT7	
KIF3B	1	KIF3B	
DEAF1	1	DEAF1	
KIF3A	1	KIF3A	
NPHP1	1	NPHP1	
ISOC1	1	ISOC1	
CAMTA1	1	CAMTA1	
NPHP3	1	NPHP3	
CAMTA2	1	CAMTA2	
NPHP4	1	NPHP4	
KIF3C	1	KIF3C	
ISOC2	1	ISOC2	
PRPH	1	PRPH	
ITPRID2	1	ITPRID2	
PRNP	1	PRNP	
PHF10	1	PHF10	
PHF12	1	PHF12	
PHF11	1	PHF11	
RYKP1	1	RYKP1	
DOLK	1	DOLK	
LRRC37A5P	1	LRRC37A5P	
CLK4	1	CLK4	
CLK3	1	CLK3	
CLK2	1	CLK2	
CLK1	1	CLK1	
AFDN	1	AFDN	
IL6	1	IL6	
PROC	1	PROC	
IL7	1	IL7	
KIF4B	1	KIF4B	
KIF4A	1	KIF4A	
PHF14	1	PHF14	
PHF13	1	PHF13	
PHF19	1	PHF19	
PRR5	1	PRR5	
PRR4	1	PRR4	
SNED1	1	SNED1	
PRR7	1	PRR7	
PRR3	1	PRR3	
ILK	1	ILK	
AFF3	1	AFF3	
PPP1R9A	1	PPP1R9A	
AFF4	1	AFF4	
AFF1	1	AFF1	
AFF2	1	AFF2	
PPP1R9B	1	PPP1R9B	
RNF212B	1	RNF212B	
CNPPD1	1	CNPPD1	
NCBP1	1	NCBP1	
NCBP2	1	NCBP2	
PLA2G4B	1	PLA2G4B	
PLA2G4C	1	PLA2G4C	
PLA2G4A	1	PLA2G4A	
SSTR1	1	SSTR1	
ARHGAP27P2	1	ARHGAP27P2	
SSTR2	1	SSTR2	
LMBRD1	1	LMBRD1	
VCAN	1	VCAN	
LMBRD2	1	LMBRD2	
NCBP3	1	NCBP3	
INA	1	INA	
PLA2G1B	1	PLA2G1B	
CRMP1	1	CRMP1	
CLN8	1	CLN8	
CLN6	1	CLN6	
PTHLH	1	PTHLH	
CLN5	1	CLN5	
PDLIM1	1	PDLIM1	
PRTG	1	PRTG	
CLN3	1	CLN3	
PDLIM3	1	PDLIM3	
CLMP	1	CLMP	
PDLIM2	1	PDLIM2	
CLMN	1	CLMN	
OR4F29	1	OR4F29	
HSPD1P1	1	HSPD1P1	
TAS1R1	1	TAS1R1	
PDLIM5	1	PDLIM5	
PDLIM4	1	PDLIM4	
TAS1R3	1	TAS1R3	
PDLIM7	1	PDLIM7	
HSPD1P4	1	HSPD1P4	
OR4F21	1	OR4F21	
MBTPS1	1	MBTPS1	
RPL6P27	1	RPL6P27	
MIIP	1	MIIP	
MAPK14	1	MAPK14	
MAPK15	1	MAPK15	
MAPK12	1	MAPK12	
U2SURP	1	U2SURP	
UQCRHL	1	UQCRHL	
MAPK13	1	MAPK13	
MAPK10	1	MAPK10	
MAPK11	1	MAPK11	
CHPT1	1	CHPT1	
S100P	1	S100P	
PMFBP1	1	PMFBP1	
MBTPS2	1	MBTPS2	
MCRIP2P1	1	MCRIP2P1	
CLPB	1	CLPB	
SERPINE2	1	SERPINE2	
SERPINE3	1	SERPINE3	
SERPINE1	1	SERPINE1	
IPP	1	IPP	
CHKB-CPT1B	1	CHKB-CPT1B	
BACH1	1	BACH1	
RXFP1	1	RXFP1	
BACH2	1	BACH2	
HENMT1	1	HENMT1	
OR2AE1	1	OR2AE1	
CLP1	1	CLP1	
DIP2A	1	DIP2A	
DIP2B	1	DIP2B	
DIP2C	1	DIP2C	
DUS4L	1	DUS4L	
EARS2	1	EARS2	
PRIMA1	1	PRIMA1	
ISY1-RAB43	1	ISY1-RAB43	
ACOT9	1	ACOT9	
ACOT8	1	ACOT8	
ACOT7	1	ACOT7	
TRIQK	1	TRIQK	
SERPINF1	1	SERPINF1	
SERPINF2	1	SERPINF2	
HOGA1	1	HOGA1	
CLPX	1	CLPX	
NISCH	1	NISCH	
DYNC1LI1	1	DYNC1LI1	
DYNC1LI2	1	DYNC1LI2	
BIN3	1	BIN3	
BIN1	1	BIN1	
CLPP	1	CLPP	
ACOT2	1	ACOT2	
ANOS1	1	ANOS1	
ACOT1	1	ACOT1	
SERPING1	1	SERPING1	
YME1L1	1	YME1L1	
ACOT6	1	ACOT6	
DUS3L	1	DUS3L	
ACOT4	1	ACOT4	
SYCP2L	1	SYCP2L	
MAPKAP1	1	MAPKAP1	
HSPA4L	1	HSPA4L	
ERP29P1	1	ERP29P1	
S100A16	1	S100A16	
RAD21	1	RAD21	
S100A13	1	S100A13	
SERPINH1	1	SERPINH1	
DNAJC25-GNG10	1	DNAJC25-GNG10	
S100A14	1	S100A14	
SPTLC1P1	1	SPTLC1P1	
S100A11	1	S100A11	
S100A10	1	S100A10	
RPL32P29	1	RPL32P29	
SIVA1	1	SIVA1	
TRIP4	1	TRIP4	
THUMPD3P1	1	THUMPD3P1	
KLHL2P1	1	KLHL2P1	
NPLOC4	1	NPLOC4	
TRIP6	1	TRIP6	
RAD17	1	RAD17	
DUS1L	1	DUS1L	
SERPINI1	1	SERPINI1	
RAD18	1	RAD18	
ITK	1	ITK	
SERPINA3	1	SERPINA3	
SERPINA1	1	SERPINA1	
SPIN4	1	SPIN4	
SPIN3	1	SPIN3	
CLTC	1	CLTC	
CLTB	1	CLTB	
LPCAT1	1	LPCAT1	
SRP54	1	SRP54	
CLTA	1	CLTA	
SERPINA5	1	SERPINA5	
FCRLA	1	FCRLA	
LFNG	1	LFNG	
PGK1P2	1	PGK1P2	
TRIM8	1	TRIM8	
FCRLB	1	FCRLB	
TRIM9	1	TRIM9	
PIP4P2	1	PIP4P2	
TRIM6	1	TRIM6	
CSRP2	1	CSRP2	
PIP4P1	1	PIP4P1	
TRIM7	1	TRIM7	
CSRP1	1	CSRP1	
TRIM4	1	TRIM4	
TRIM5	1	TRIM5	
TRIM2	1	TRIM2	
TRIM3	1	TRIM3	
RACK1	1	RACK1	
SPIN1	1	SPIN1	
TNKS1BP1	1	TNKS1BP1	
AP3S2	1	AP3S2	
AP3S1	1	AP3S1	
MIOX	1	MIOX	
SERPINB1	1	SERPINB1	
CLUH	1	CLUH	
SERPINB2	1	SERPINB2	
MIOS	1	MIOS	
ITPK1	1	ITPK1	
TTC3P1	1	TTC3P1	
SERPINB9	1	SERPINB9	
NUDT16L1	1	NUDT16L1	
SERPINB7	1	SERPINB7	
SERPINB8	1	SERPINB8	
SERPINB6	1	SERPINB6	
BACE1	1	BACE1	
ITPKB	1	ITPKB	
BACE2	1	BACE2	
ITPKC	1	ITPKC	
RPS15P5	1	RPS15P5	
IVD	1	IVD	
ITPKA	1	ITPKA	
PHLPP2	1	PHLPP2	
PHLPP1	1	PHLPP1	
SERPINC1	1	SERPINC1	
TTC41P	1	TTC41P	
SLC22A20P	1	SLC22A20P	
HSPA14	1	HSPA14	
HSPA13	1	HSPA13	
CHRNG	1	CHRNG	
SRP72	1	SRP72	
CHRNE	1	CHRNE	
OR2AG2	1	OR2AG2	
MISP	1	MISP	
HSPA1L	1	HSPA1L	
SEPTIN1	1	SEPT1	
SERPIND1	1	SERPIND1	
SEPTIN2	1	SEPT2	
SEPTIN5	1	SEPT5	
RPS28P7	1	RPS28P7	
SEPTIN6	1	SEPT6	
GTF2H1	1	GTF2H1	
SEPTIN3	1	SEPT3	
GTF2H2	1	GTF2H2	
SEPTIN4	1	SEPT4	
SRP68	1	SRP68	
GTF2H3	1	GTF2H3	
SEPTIN9	1	SEPT9	
BLCAP	1	BLCAP	
GTF2H4	1	GTF2H4	
GTF2H5	1	GTF2H5	
SEPTIN7	1	SEPT7	
SEPTIN8	1	SEPT8	
RYBP	1	RYBP	
FAM3C2P	1	FAM3C2	
LPCAT4	1	LPCAT4	
LPCAT3	1	LPCAT3	
LPCAT2	1	LPCAT2	
HSPA1B	1	HSPA1B	
HSPA1A	1	HSPA1A	
CHRM2	1	CHRM2	
CLXN	1	EFCAB1	
SEMA5A	1	SEMA5A	
CHRM3	1	CHRM3	
ATP8A2	1	ATP8A2	
ATP8A1	1	ATP8A1	
TUSC3	1	TUSC3	
